year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
1980,1,5.8,1.0,9.0,57.9,78.7,aberporth,52.139,4.57
1980,2,8.7,4.3,0.0,89.9,49.8,aberporth,52.139,4.57
1980,3,7.5,2.9,4.0,91.6,95.7,aberporth,52.139,4.57
1980,4,10.5,5.6,0.0,21.4,169.0,aberporth,52.139,4.57
1980,5,14.5,7.2,0.0,27.5,236.7,aberporth,52.139,4.57
1980,6,15.2,10.2,0.0,76.4,143.8,aberporth,52.139,4.57
1980,7,16.6,11.0,0.0,53.9,170.3,aberporth,52.139,4.57
1980,8,17.7,12.5,0.0,66.3,138.6,aberporth,52.139,4.57
1980,9,16.4,11.5,0.0,75.4,122.6,aberporth,52.139,4.57
1980,10,11.8,7.2,0.0,119.3,78.7,aberporth,52.139,4.57
1980,11,9.1,5.5,2.0,64.8,63.4,aberporth,52.139,4.57
1980,12,8.9,4.4,3.0,82.9,40.4,aberporth,52.139,4.57
1981,1,8.0,3.6,1.0,40.7,51.6,aberporth,52.139,4.57
1981,2,6.4,1.1,12.0,52.6,80.1,aberporth,52.139,4.57
1981,3,9.9,5.7,1.0,164.5,85.0,aberporth,52.139,4.57
1981,4,11.2,5.1,0.0,22.5,167.0,aberporth,52.139,4.57
1981,5,13.8,7.4,0.0,70.3,163.0,aberporth,52.139,4.57
1981,6,15.0,9.8,0.0,28.1,162.0,aberporth,52.139,4.57
1981,7,16.5,11.6,0.0,27.7,132.9,aberporth,52.139,4.57
1981,8,18.4,12.5,0.0,24.2,187.6,aberporth,52.139,4.57
1981,9,17.3,10.8,0.0,164.8,130.5,aberporth,52.139,4.57
1981,10,11.0,6.5,0.0,217.2,75.6,aberporth,52.139,4.57
1981,11,10.7,6.2,0.0,51.9,46.6,aberporth,52.139,4.57
1981,12,5.5,0.6,12.0,78.0,42.7,aberporth,52.139,4.57
1982,1,6.2,2.5,9.0,67.3,56.9,aberporth,52.139,4.57
1982,2,8.2,3.0,5.0,78.3,82.0,aberporth,52.139,4.57
1982,3,8.7,3.3,0.0,67.5,153.4,aberporth,52.139,4.57
1982,4,10.7,5.3,0.0,18.0,185.1,aberporth,52.139,4.57
1982,5,14.5,7.5,0.0,30.5,203.8,aberporth,52.139,4.57
1982,6,17.8,10.7,0.0,94.5,179.2,aberporth,52.139,4.57
1982,7,17.9,12.3,0.0,53.9,190.6,aberporth,52.139,4.57
1982,8,17.2,12.0,0.0,74.2,136.9,aberporth,52.139,4.57
1982,9,16.6,10.7,0.0,105.4,122.4,aberporth,52.139,4.57
1982,10,12.7,7.9,0.0,107.9,80.0,aberporth,52.139,4.57
1982,11,10.6,6.4,0.0,141.2,51.3,aberporth,52.139,4.57
1982,12,8.1,3.2,3.0,78.9,33.7,aberporth,52.139,4.57
1983,1,9.1,5.0,1.0,90.8,28.3,aberporth,52.139,4.57
1983,2,5.3,0.5,15.0,31.1,96.5,aberporth,52.139,4.57
1983,3,8.7,4.4,0.0,71.8,70.0,aberporth,52.139,4.57
